Country,Age group,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chile,30-34,"211,9","219,5","220,1","207,9","194,2","181,5","166,2","153,3","140,4","131,9","125,8","127,6","124,6","118,4","112,4","103,4","96,1","89,1","86,8","87,0","87,6","91,1","91,6","85,3","85,1","83,7","86,9","89,6","94,2","97,4","99,3","98,2","97,5","96,5","94,8","91,1","89,6","86,1","83,9","81,6","80,5","80,3","78,9","81,0","81,0","81,1","80,6","82,3","83,0","82,3","83,4","82,5","84,4","82,4","87,4","86,3","83,8","78,6","79,5","75,2","69,0",..
Chile,35-39,"139,9","140,4","138,5","139,8","137,4","138,0","130,1","117,6","103,6","93,0","83,0","79,1","76,0","72,0","70,8","66,6","61,7","53,9","49,8","48,1","48,3","49,5","51,1","48,7","48,3","48,0","47,6","46,5","49,8","49,4","49,8","50,5","50,4","50,0","49,7","49,3","50,2","50,1","49,7","49,8","50,2","50,4","48,4","48,0","46,9","45,8","45,6","46,8","48,4","50,6","52,4","52,3","51,6","49,2","51,1","52,1","51,8","51,0","51,9","49,3","46,0",..
Chile,40-44,"59,0","56,5","59,9","60,0","57,6","56,3","53,7","49,8","48,0","43,9","41,4","38,8","36,6","32,4","30,5","27,1","23,9","20,8","19,7","18,9","18,2","18,7","17,7","15,8","15,0","14,4","13,6","13,6","14,2","14,2","14,4","14,5","13,8","13,9","13,2","13,2","13,0","12,9","12,9","12,9","13,5","13,7","14,2","14,4","14,2","14,1","14,0","13,7","13,5","13,7","13,5","13,7","13,5","14,4","15,1","15,3","15,0","14,1","13,7","13,3","12,6",..
Chile,45-49,"10,8","9,9","9,9","8,8","8,3","8,6","8,1","7,6","7,0","6,6","6,4","6,0","5,6","4,9","4,8","4,6","4,4","3,5","3,2","2,7","2,4","2,3","2,0","1,7","1,5","1,3","1,4","1,3","2,0","1,0","1,0","1,1","1,0","1,0","0,9","0,8","0,8","0,8","0,8","0,7","0,8","0,8","0,7","0,7","0,7","0,7","0,8","0,7","0,8","0,8","0,8","0,8","0,8","0,7","0,8","0,8","0,8","0,9","0,8","0,8","0,8",..
Czech Republic,15-19,"44,1","43,3","44,1","47,5","47,4","47,2","47,3","47,5","45,1","47,4","48,7","48,4","48,7","51,1","57,2","61,2","62,4","61,5","57,7","56,6","53,2","50,9","52,9","55,5","55,5","53,3","50,6","48,8","48,4","44,9","44,7","46,7","44,7","42,8","32,6","24,9","20,0","17,9","16,4","15,3","13,2","11,5","11,6","11,4","11,4","11,0","11,0","11,2","11,6","11,9","11,5","11,2","11,9","11,7","11,9","11,6","11,8","11,8","10,8","9,9","9,2","8,0"
Czech Republic,20-24,"184,3","187,4","189,9","200,8","199,2","185,3","175,4","169,5","166,1","169,1","173,0","175,9","185,6","201,4","213,8","213,2","210,5","209,0","212,9","209,9","196,7","190,1","191,0","186,4","188,0","186,6","182,3","178,0","178,5","173,0","175,1","171,2","153,9","145,3","121,8","102,4","91,0","85,5","80,0","72,6","67,8","61,5","58,5","54,0","51,0","49,1","47,3","48,7","48,7","47,7","46,6","42,4","42,4","41,9","43,0","45,5","49,4","50,8","51,3","49,7","49,7","47,6"
Czech Republic,25-29,"115,0","115,8","118,0","132,0","134,6","123,2","112,1","103,2","99,2","100,2","104,0","111,9","118,6","135,4","141,6","135,0","129,8","125,0","123,9","120,5","108,3","103,4","102,8","100,3","99,9","100,5","100,8","102,1","105,8","103,9","105,6","101,1","94,8","94,2","85,6","81,4","79,2","82,7","84,8","86,4","91,0","92,5","93,9","94,6","97,8","101,4","102,2","106,8","107,3","104,3","101,5","93,6","93,4","92,3","95,6","97,0","99,4","103,7","105,3","107,9","108,9","117,5"
Czech Republic,30-34,"50,0","51,1","48,9","56,9","60,1","55,2","47,9","43,1","40,1","41,2","41,9","46,1","49,0","55,5","60,1","57,3","55,1","53,4","52,1","49,7","42,0","39,7","38,9","37,5","37,4","37,4","37,4","36,5","38,8","36,6","37,6","36,5","35,1","37,1","35,8","35,3","35,1","36,1","37,5","39,4","43,2","48,3","52,9","57,4","64,6","72,2","79,4","90,1","97,0","97,9","100,1","95,8","98,0","98,1","104,4","106,3","109,2","111,9","112,5","111,4","110,4","122,5"
Czech Republic,35-39,"19,8","19,2","18,1","20,2","21,5","20,1","17,8","15,0","14,0","13,9","13,2","13,9","14,1","16,0","17,2","17,0","17,5","16,6","16,6","15,6","13,1","12,9","12,6","11,9","11,1","10,9","11,1","11,2","11,1","11,2","11,3","11,2","10,3","11,2","10,8","10,6","11,0","12,0","12,7","13,1","14,5","15,3","16,9","17,6","20,2","22,8","26,0","30,7","34,6","36,3","38,6","37,2","38,4","39,9","43,2","45,3","47,6","49,8","51,5","52,5","53,3","58,7"
Czech Republic,40-44,"5,1","5,4","4,6","4,5","4,9","4,5","3,6","3,2","2,9","2,9","2,8","2,8","2,6","2,9","2,7","2,7","2,5","2,5","2,4","2,4","2,2","2,4","2,0","1,9","1,8","1,7","1,7","1,8","1,7","1,6","1,7","1,8","1,8","1,8","1,8","1,7","1,7","1,7","1,9","1,9","2,1","2,5","2,8","3,1","3,4","3,7","4,1","4,7","5,3","5,6","5,9","6,1","6,6","7,1","7,4","8,5","8,7","9,1","9,8","9,9","10,2","10,9"
Czech Republic,45-49,"0,3","0,2","0,2","0,2","0,2","0,3","0,3","0,2","0,2","0,2","0,1","0,1","0,2","0,1","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,5","0,5","0,7","0,8","0,7","0,8"
Denmark,15-19,"41,7","42,0","42,6","35,0","48,4","49,3","51,9","49,2","44,7","39,0","32,4","28,9","28,1","26,0","25,5","26,8","23,0","21,8","19,8","17,6","16,3","13,7","12,1","10,6","10,5","9,8","9,7","9,5","9,0","9,3","9,2","9,1","9,8","9,2","9,3","8,8","8,2","8,8","8,1","8,0","7,9","7,6","6,5","6,0","5,6","5,6","6,0","5,7","6,0","5,5","5,0","4,6","4,4","4,2","3,6","3,4","3,5","2,8","2,4","2,0","1,6","1,3"
